,Unnamed: 0,date,zipcode,pickups,dropoffs,pickup_passengers,dropoff_passengers,FELONIES,MISDEMEANORS,VIOLATIONS,price,date_enc
0,0,01/2010,10001,633332,644894,1062747,1091753,167.0,307.0,32.0,1032.0,0
1,1,01/2010,10002,206659,196853,360603,342895,70.0,254.0,24.0,909.0,0
3,3,01/2010,10004,80761,93585,138038,157080,10.0,15.0,1.0,1108.0,0
4,4,01/2010,10005,49986,60145,83610,99366,15.0,33.0,4.0,984.0,0
5,5,01/2010,10006,34665,33288,58808,55874,2.0,0.0,0.0,879.0,0
6,6,01/2010,10007,59077,57290,98618,97790,14.0,30.0,2.0,1104.0,0
7,7,01/2010,10009,351846,328976,594515,558967,114.0,218.0,37.0,913.0,0
12,12,01/2010,10014,606095,534912,1032506,915645,95.0,120.0,19.0,1123.0,0
15,15,01/2010,10018,333286,306378,557993,514726,87.0,110.0,14.0,1061.0,0
20,20,01/2010,10023,494087,475849,828645,799499,71.0,100.0,27.0,1060.0,0
21,21,01/2010,10024,458631,473848,777021,803678,57.0,121.0,33.0,967.0,0
22,22,01/2010,10025,312426,323102,525820,549050,91.0,233.0,50.0,824.0,0
23,23,01/2010,10026,44405,71834,75462,121636,106.0,275.0,44.0,619.0,0
26,26,01/2010,10029,129840,155093,217342,258906,105.0,345.0,53.0,639.0,0
27,27,01/2010,10030,4388,18665,7826,31983,73.0,170.0,31.0,510.0,0
28,28,01/2010,10031,13654,31649,22988,53931,73.0,200.0,37.0,455.0,0
29,29,01/2010,10032,8690,27534,14794,45904,79.0,136.0,34.0,434.0,0
32,32,01/2010,10035,34287,73793,58988,124053,136.0,404.0,68.0,593.0,0
35,35,01/2010,10038,91084,105296,153680,173611,22.0,59.0,11.0,901.0,0
36,36,01/2010,10039,1384,7989,2551,13842,57.0,138.0,26.0,488.0,0
39,39,01/2010,10065,601893,538128,994188,892886,62.0,76.0,15.0,1061.0,0
40,40,01/2010,10069,315691,293840,530064,493661,45.0,82.0,26.0,1119.0,0
41,41,01/2010,10075,250347,241770,422356,404030,13.0,22.0,2.0,997.0,0
43,43,01/2010,10128,363994,369145,597509,620656,37.0,89.0,13.0,825.0,0
44,44,01/2010,10280,24346,26783,40382,44880,0.0,3.0,1.0,863.0,0
47,47,01/2010,10301,575,971,1052,1702,63.0,201.0,64.0,271.0,0
48,48,01/2010,10302,348,499,559,809,29.0,134.0,26.0,239.0,0
49,49,01/2010,10303,5825,20019,12869,37937,34.0,82.0,28.0,216.0,0
50,50,01/2010,10304,294,608,369,907,30.0,99.0,19.0,256.0,0
51,51,01/2010,10305,790,1280,1115,1922,22.0,84.0,22.0,262.0,0
52,52,01/2010,10306,187,396,321,623,27.0,106.0,24.0,285.0,0
53,53,01/2010,10307,2090,2188,3561,3676,10.0,41.0,9.0,282.0,0
54,54,01/2010,10308,80,203,121,347,26.0,63.0,18.0,281.0,0
55,55,01/2010,10309,256,324,354,473,23.0,68.0,11.0,240.0,0
56,56,01/2010,10310,445,686,937,1304,29.0,98.0,25.0,259.0,0
57,57,01/2010,10312,48,204,79,364,29.0,72.0,22.0,254.0,0
58,58,01/2010,10314,87,395,148,679,41.0,128.0,31.0,252.0,0
67,67,01/2010,10459,771,1951,1898,3962,106.0,266.0,52.0,222.0,0
70,70,01/2010,10462,785,4290,1455,7410,97.0,259.0,54.0,175.0,0
76,76,01/2010,10470,1053,3639,1600,5925,44.0,103.0,20.0,211.0,0
83,83,01/2010,11004,140,469,196,741,6.0,14.0,1.0,407.0,0
87,87,01/2010,11101,23554,25319,38665,42102,27.0,50.0,6.0,491.0,0
88,88,01/2010,11102,19244,34800,31883,59147,53.0,125.0,19.0,497.0,0
89,89,01/2010,11103,15103,38080,26192,64614,74.0,110.0,21.0,413.0,0
90,90,01/2010,11104,28598,36913,49126,63963,54.0,94.0,25.0,437.0,0
91,91,01/2010,11105,6680,23374,12103,40764,34.0,51.0,7.0,371.0,0
94,94,01/2010,11201,76219,99519,127710,166375,71.0,228.0,42.0,640.0,0
95,95,01/2010,11203,319,2507,545,4048,99.0,176.0,30.0,250.0,0
96,96,01/2010,11204,447,2547,723,4359,58.0,78.0,19.0,366.0,0
98,98,01/2010,11206,4629,25679,8072,43666,144.0,301.0,59.0,289.0,0
99,99,01/2010,11207,463,2036,837,3516,197.0,429.0,62.0,270.0,0
100,100,01/2010,11208,696,2169,1273,3765,172.0,323.0,48.0,261.0,0
102,102,01/2010,11210,471,3292,763,5457,96.0,164.0,28.0,320.0,0
104,104,01/2010,11212,304,1930,460,3253,198.0,399.0,89.0,275.0,0
106,106,01/2010,11214,448,2822,717,4792,75.0,117.0,34.0,372.0,0
107,107,01/2010,11215,11415,51394,19615,86852,73.0,122.0,9.0,564.0,0
115,115,01/2010,11223,1595,4453,2718,7720,74.0,140.0,30.0,402.0,0
116,116,01/2010,11224,500,1068,778,1769,51.0,165.0,32.0,341.0,0
118,118,01/2010,11226,777,6741,1290,11409,197.0,307.0,48.0,321.0,0
119,119,01/2010,11228,438,4178,671,7162,38.0,109.0,20.0,396.0,0
122,122,01/2010,11231,23752,32998,40581,55320,47.0,101.0,26.0,601.0,0
123,123,01/2010,11232,1158,5008,2058,8640,49.0,82.0,12.0,463.0,0
125,125,01/2010,11234,670,2503,918,4105,94.0,168.0,41.0,329.0,0
126,126,01/2010,11235,730,3293,1031,5565,69.0,144.0,18.0,412.0,0
131,131,01/2010,11354,1037,3330,1604,5384,40.0,72.0,16.0,396.0,0
132,132,01/2010,11355,6065,6076,8929,9379,73.0,137.0,21.0,386.0,0
133,133,01/2010,11356,805,2106,1418,3518,21.0,44.0,2.0,341.0,0
134,134,01/2010,11357,854,2478,1202,3995,20.0,27.0,9.0,415.0,0
135,135,01/2010,11358,231,1696,398,2855,25.0,54.0,6.0,376.0,0
137,137,01/2010,11361,147,1477,265,2582,36.0,41.0,6.0,406.0,0
138,138,01/2010,11362,206,726,388,1245,10.0,13.0,4.0,422.0,0
139,139,01/2010,11363,360,1024,690,1871,1.0,9.0,0.0,453.0,0
140,140,01/2010,11364,200,1307,345,2233,24.0,51.0,7.0,418.0,0
141,141,01/2010,11365,273,1642,459,2719,21.0,32.0,5.0,384.0,0
142,142,01/2010,11366,326,2107,488,3489,23.0,29.0,8.0,386.0,0
143,143,01/2010,11367,2459,6486,3518,10139,43.0,87.0,25.0,339.0,0
144,144,01/2010,11368,3259,7605,5129,12816,95.0,200.0,30.0,375.0,0
145,145,01/2010,11369,270,1557,440,2564,17.0,40.0,4.0,294.0,0
147,147,01/2010,11372,9112,27552,15066,47329,155.0,268.0,46.0,345.0,0
149,149,01/2010,11374,3338,11581,5272,19053,73.0,127.0,17.0,381.0,0
150,150,01/2010,11375,12144,17578,18943,29100,48.0,91.0,10.0,437.0,0
151,151,01/2010,11377,11163,19019,19273,32622,57.0,63.0,18.0,358.0,0
152,152,01/2010,11378,2172,6943,4057,12007,39.0,62.0,16.0,343.0,0
153,153,01/2010,11379,623,3560,1134,6082,18.0,41.0,11.0,350.0,0
154,154,01/2010,11385,566,2964,979,5071,52.0,84.0,31.0,322.0,0
155,155,01/2010,11411,289,988,694,1851,41.0,28.0,9.0,298.0,0
156,156,01/2010,11412,191,757,363,1325,67.0,49.0,22.0,252.0,0
157,157,01/2010,11413,586,1250,1152,2187,51.0,114.0,22.0,265.0,0
158,158,01/2010,11414,525,1083,1192,2052,22.0,31.0,5.0,301.0,0
159,159,01/2010,11415,2504,7490,4120,12482,35.0,60.0,14.0,338.0,0
160,160,01/2010,11416,201,1133,422,1943,44.0,48.0,17.0,260.0,0
161,161,01/2010,11417,289,1244,570,2295,34.0,47.0,19.0,285.0,0
162,162,01/2010,11418,511,2356,833,3953,42.0,73.0,18.0,272.0,0
163,163,01/2010,11419,706,1807,1136,2981,54.0,84.0,28.0,269.0,0
164,164,01/2010,11420,318,1079,498,1782,36.0,38.0,14.0,276.0,0
165,165,01/2010,11421,442,2409,764,4017,55.0,95.0,16.0,259.0,0
166,166,01/2010,11422,615,1849,1131,3143,42.0,71.0,15.0,284.0,0
167,167,01/2010,11423,633,1877,1181,3313,50.0,63.0,12.0,283.0,0
168,168,01/2010,11426,305,718,473,1173,16.0,16.0,1.0,327.0,0
169,169,01/2010,11427,243,885,422,1554,32.0,31.0,5.0,323.0,0
170,170,01/2010,11428,133,453,237,763,15.0,25.0,7.0,292.0,0
171,171,01/2010,11429,135,517,256,873,23.0,50.0,12.0,267.0,0
173,173,01/2010,11432,739,3259,1163,5474,65.0,81.0,28.0,344.0,0
174,174,01/2010,11433,319,924,515,1511,89.0,141.0,30.0,280.0,0
175,175,01/2010,11434,82296,39938,142418,67951,64.0,102.0,26.0,272.0,0
176,176,01/2010,11435,1971,3248,3457,5544,103.0,167.0,52.0,283.0,0
177,177,01/2010,11436,3258,3859,5625,6706,79.0,75.0,17.0,281.0,0
178,178,01/2010,11691,658,916,1106,1536,71.0,139.0,53.0,265.0,0
179,179,01/2010,11692,647,645,1273,1248,48.0,73.0,27.0,251.0,0
180,180,01/2010,11694,637,875,983,1404,19.0,34.0,10.0,381.0,0
182,1092,02/2010,10001,484351,500026,794948,823092,117.0,288.0,19.0,1028.0,6
183,1093,02/2010,10002,156264,149717,266355,255450,82.0,175.0,30.0,915.0,6
185,1095,02/2010,10004,59085,68678,97146,111435,11.0,14.0,2.0,1105.0,6
186,1096,02/2010,10005,36392,45882,58874,73245,19.0,50.0,3.0,965.0,6
187,1097,02/2010,10006,26516,25773,43759,42070,4.0,1.0,0.0,857.0,6
188,1098,02/2010,10007,43645,42589,70938,70331,13.0,18.0,1.0,1118.0,6
189,1099,02/2010,10009,259254,245884,425267,405544,86.0,190.0,36.0,896.0,6
194,1104,02/2010,10014,458293,402660,761359,671892,67.0,113.0,26.0,1095.0,6
197,1107,02/2010,10018,260454,241406,425406,395342,67.0,126.0,6.0,1055.0,6
202,1112,02/2010,10023,351778,338170,571552,550601,49.0,76.0,22.0,1036.0,6
203,1113,02/2010,10024,323012,337442,532553,556983,70.0,82.0,24.0,971.0,6
204,1114,02/2010,10025,231233,236696,377028,390115,71.0,163.0,48.0,834.0,6
205,1115,02/2010,10026,33478,54231,55136,89492,86.0,165.0,32.0,627.0,6
208,1118,02/2010,10029,98406,116721,158549,188217,85.0,235.0,47.0,656.0,6
209,1119,02/2010,10030,3455,14452,5554,23910,48.0,121.0,26.0,518.0,6
210,1120,02/2010,10031,11323,24239,18639,40170,65.0,171.0,37.0,463.0,6
211,1121,02/2010,10032,6726,20500,10676,33158,56.0,129.0,24.0,442.0,6
214,1124,02/2010,10035,29367,56865,48457,92455,115.0,338.0,60.0,601.0,6
217,1127,02/2010,10038,69177,79678,113106,127408,22.0,38.0,13.0,909.0,6
218,1128,02/2010,10039,1058,6420,1852,10828,32.0,125.0,18.0,489.0,6
221,1131,02/2010,10065,450769,398874,721433,642453,51.0,67.0,12.0,1042.0,6
222,1132,02/2010,10069,237318,215898,385767,352516,25.0,63.0,13.0,1110.0,6
223,1133,02/2010,10075,182913,174769,299655,286013,9.0,14.0,1.0,1007.0,6
225,1135,02/2010,10128,258378,266152,412629,434014,35.0,54.0,11.0,834.0,6
226,1136,02/2010,10280,19609,21155,32454,35328,3.0,2.0,0.0,855.0,6
229,1139,02/2010,10301,452,753,926,1454,46.0,149.0,47.0,270.0,6
230,1140,02/2010,10302,239,317,463,570,28.0,86.0,19.0,238.0,6
231,1141,02/2010,10303,3546,14936,6302,25502,19.0,65.0,17.0,217.0,6
232,1142,02/2010,10304,252,525,281,703,31.0,74.0,22.0,255.0,6
233,1143,02/2010,10305,609,927,738,1266,33.0,77.0,28.0,259.0,6
234,1144,02/2010,10306,143,276,230,446,26.0,73.0,20.0,284.0,6
235,1145,02/2010,10307,1231,1322,1980,2087,5.0,33.0,10.0,281.0,6
236,1146,02/2010,10308,75,159,153,295,18.0,85.0,23.0,280.0,6
237,1147,02/2010,10309,293,358,661,770,22.0,47.0,13.0,239.0,6
238,1148,02/2010,10310,394,579,772,1100,25.0,83.0,23.0,258.0,6
239,1149,02/2010,10312,60,146,92,234,16.0,58.0,19.0,253.0,6
240,1150,02/2010,10314,79,299,116,502,21.0,90.0,17.0,251.0,6
249,1159,02/2010,10459,289,1337,570,2335,83.0,204.0,49.0,223.0,6
252,1162,02/2010,10462,616,3251,1096,5506,89.0,184.0,46.0,174.0,6
258,1168,02/2010,10470,722,2662,1331,4372,43.0,96.0,16.0,209.0,6
265,1175,02/2010,11004,139,378,271,659,3.0,13.0,3.0,412.0,6
269,1179,02/2010,11101,20230,20434,31455,32322,24.0,53.0,4.0,498.0,6
270,1180,02/2010,11102,13690,25182,21354,41203,48.0,71.0,20.0,482.0,6
271,1181,02/2010,11103,12081,28128,20511,46957,41.0,92.0,18.0,412.0,6
272,1182,02/2010,11104,23063,28885,39259,49589,53.0,85.0,23.0,428.0,6
273,1183,02/2010,11105,4572,16802,7544,27760,23.0,31.0,5.0,364.0,6
276,1186,02/2010,11201,55409,72607,90911,119214,70.0,132.0,44.0,647.0,6
277,1187,02/2010,11203,339,1997,569,3251,88.0,156.0,21.0,251.0,6
278,1188,02/2010,11204,397,1890,659,3182,33.0,68.0,19.0,373.0,6
280,1190,02/2010,11206,3627,19760,5925,32632,138.0,266.0,43.0,291.0,6
281,1191,02/2010,11207,298,1625,505,2835,124.0,344.0,48.0,272.0,6
282,1192,02/2010,11208,569,1672,851,2778,129.0,286.0,41.0,266.0,6
284,1194,02/2010,11210,461,2675,923,4562,66.0,116.0,22.0,319.0,6
286,1196,02/2010,11212,204,1465,346,2452,157.0,338.0,52.0,271.0,6
288,1198,02/2010,11214,423,2141,680,3470,64.0,85.0,33.0,379.0,6
289,1199,02/2010,11215,9100,38259,15108,62657,48.0,105.0,24.0,577.0,6
297,1207,02/2010,11223,1401,3527,2275,5909,51.0,122.0,28.0,404.0,6
298,1208,02/2010,11224,359,832,523,1361,61.0,137.0,18.0,327.0,6
300,1210,02/2010,11226,787,5248,1236,8686,138.0,234.0,52.0,326.0,6
301,1211,02/2010,11228,556,3306,1036,5429,28.0,61.0,14.0,400.0,6
304,1214,02/2010,11231,18102,24666,30180,40495,25.0,62.0,24.0,606.0,6
305,1215,02/2010,11232,819,3662,1373,6159,23.0,74.0,7.0,463.0,6
307,1217,02/2010,11234,587,1963,824,3112,77.0,108.0,33.0,330.0,6
308,1218,02/2010,11235,616,2475,956,4171,59.0,113.0,21.0,409.0,6
313,1223,02/2010,11354,675,2379,1005,3881,27.0,57.0,8.0,400.0,6
314,1224,02/2010,11355,3826,3987,5475,6342,51.0,86.0,15.0,386.0,6
315,1225,02/2010,11356,427,1417,711,2279,17.0,30.0,13.0,343.0,6
316,1226,02/2010,11357,389,1554,710,2591,31.0,23.0,5.0,414.0,6
317,1227,02/2010,11358,142,1253,200,2026,22.0,25.0,12.0,374.0,6
319,1229,02/2010,11361,112,1027,165,1716,37.0,27.0,7.0,403.0,6
320,1230,02/2010,11362,137,577,234,1012,18.0,20.0,7.0,423.0,6
321,1231,02/2010,11363,276,768,430,1239,2.0,3.0,0.0,445.0,6
322,1232,02/2010,11364,109,1022,197,1736,21.0,35.0,3.0,414.0,6
323,1233,02/2010,11365,162,1195,257,1988,13.0,18.0,7.0,382.0,6
324,1234,02/2010,11366,218,1396,356,2259,16.0,23.0,8.0,390.0,6
325,1235,02/2010,11367,1044,3939,1803,6454,37.0,54.0,18.0,339.0,6
326,1236,02/2010,11368,1778,5043,2905,8507,96.0,120.0,18.0,376.0,6
327,1237,02/2010,11369,179,1089,255,1699,15.0,23.0,6.0,290.0,6
329,1239,02/2010,11372,7494,20867,12017,35253,127.0,237.0,58.0,337.0,6
331,1241,02/2010,11374,2440,8316,3736,13482,49.0,99.0,25.0,380.0,6
332,1242,02/2010,11375,8953,12913,13738,20643,34.0,74.0,16.0,422.0,6
333,1243,02/2010,11377,8712,14424,14487,24213,41.0,69.0,9.0,354.0,6
334,1244,02/2010,11378,1566,5108,2861,8726,30.0,58.0,12.0,338.0,6
335,1245,02/2010,11379,611,2683,1090,4584,17.0,35.0,12.0,346.0,6
336,1246,02/2010,11385,379,2152,691,3573,25.0,100.0,24.0,321.0,6
337,1247,02/2010,11411,473,952,609,1356,40.0,33.0,13.0,303.0,6
338,1248,02/2010,11412,147,561,279,946,51.0,44.0,11.0,257.0,6
339,1249,02/2010,11413,332,942,609,1460,50.0,56.0,13.0,268.0,6
340,1250,02/2010,11414,367,938,646,1677,23.0,28.0,8.0,303.0,6
341,1251,02/2010,11415,1701,5334,3165,9027,29.0,60.0,16.0,330.0,6
342,1252,02/2010,11416,288,989,403,1622,37.0,44.0,12.0,265.0,6
343,1253,02/2010,11417,227,894,327,1474,25.0,41.0,12.0,288.0,6
344,1254,02/2010,11418,440,1832,664,2909,36.0,50.0,17.0,271.0,6
345,1255,02/2010,11419,289,1145,457,1910,45.0,80.0,25.0,271.0,6
346,1256,02/2010,11420,179,738,284,1251,29.0,50.0,14.0,278.0,6
347,1257,02/2010,11421,485,1889,874,3243,38.0,91.0,23.0,261.0,6
348,1258,02/2010,11422,459,1455,1018,2722,32.0,38.0,10.0,285.0,6
349,1259,02/2010,11423,533,1443,1176,2698,37.0,59.0,10.0,289.0,6
350,1260,02/2010,11426,337,633,619,1135,13.0,21.0,7.0,328.0,6
351,1261,02/2010,11427,170,612,372,1121,17.0,29.0,2.0,326.0,6
352,1262,02/2010,11428,212,460,335,761,20.0,28.0,7.0,294.0,6
353,1263,02/2010,11429,223,485,342,777,41.0,46.0,11.0,272.0,6
355,1265,02/2010,11432,562,2236,1258,4108,56.0,68.0,13.0,349.0,6
356,1266,02/2010,11433,232,730,372,1177,92.0,91.0,23.0,283.0,6
357,1267,02/2010,11434,58412,31473,100099,52467,52.0,80.0,19.0,276.0,6
358,1268,02/2010,11435,1496,2576,2403,4056,62.0,108.0,27.0,284.0,6
359,1269,02/2010,11436,2418,2770,4265,5028,40.0,59.0,14.0,281.0,6
360,1270,02/2010,11691,426,675,858,1213,53.0,88.0,34.0,268.0,6
361,1271,02/2010,11692,333,443,573,738,43.0,66.0,12.0,259.0,6
362,1272,02/2010,11694,456,713,758,1201,15.0,18.0,17.0,378.0,6
364,2184,03/2010,10001,564093,561536,921810,924198,133.0,336.0,21.0,1034.0,12
365,2185,03/2010,10002,171063,163701,290924,279594,80.0,218.0,34.0,917.0,12
367,2187,03/2010,10004,73404,85981,123114,141846,9.0,32.0,6.0,1087.0,12
368,2188,03/2010,10005,44926,56569,73122,90705,11.0,70.0,3.0,974.0,12
369,2189,03/2010,10006,34222,33114,56920,54096,1.0,12.0,1.0,855.0,12
370,2190,03/2010,10007,55868,53305,91870,88619,15.0,21.0,4.0,1126.0,12
371,2191,03/2010,10009,283037,265811,461816,437869,97.0,196.0,52.0,905.0,12
376,2196,03/2010,10014,517734,448994,858927,749276,90.0,133.0,28.0,1106.0,12
379,2199,03/2010,10018,300574,278583,491735,457388,67.0,128.0,16.0,1064.0,12
384,2204,03/2010,10023,400037,382086,649745,621073,41.0,89.0,22.0,1052.0,12
385,2205,03/2010,10024,367928,383267,605967,633142,45.0,103.0,26.0,979.0,12
386,2206,03/2010,10025,259280,269784,422551,445157,91.0,208.0,52.0,840.0,12
387,2207,03/2010,10026,38926,61154,63754,100115,82.0,225.0,54.0,628.0,12
390,2210,03/2010,10029,111706,135580,179944,217529,117.0,319.0,67.0,668.0,12
391,2211,03/2010,10030,4260,17105,6643,27971,59.0,163.0,19.0,517.0,12
392,2212,03/2010,10031,12955,28151,21052,46544,77.0,198.0,45.0,468.0,12
393,2213,03/2010,10032,8360,24588,13497,39733,71.0,132.0,22.0,446.0,12
396,2216,03/2010,10035,33170,65789,53937,106295,145.0,459.0,83.0,605.0,12
399,2219,03/2010,10038,84291,97498,139595,157174,25.0,63.0,19.0,906.0,12
400,2220,03/2010,10039,1193,7491,2117,12595,66.0,138.0,34.0,490.0,12
403,2223,03/2010,10065,514307,452249,821449,725816,48.0,76.0,10.0,1045.0,12
404,2224,03/2010,10069,283972,262872,462352,427299,28.0,91.0,18.0,1117.0,12
405,2225,03/2010,10075,209914,203592,343504,331267,7.0,21.0,1.0,1013.0,12
407,2227,03/2010,10128,298305,299425,473185,485789,39.0,47.0,22.0,843.0,12
408,2228,03/2010,10280,22573,23957,36697,39285,1.0,6.0,1.0,846.0,12
411,2231,03/2010,10301,591,936,1143,1701,75.0,212.0,60.0,271.0,12
412,2232,03/2010,10302,250,406,352,616,50.0,132.0,40.0,237.0,12
413,2233,03/2010,10303,3978,19425,5883,32468,29.0,93.0,18.0,217.0,12
414,2234,03/2010,10304,414,669,526,905,22.0,98.0,28.0,255.0,12
415,2235,03/2010,10305,895,1362,1103,1866,40.0,77.0,19.0,259.0,12
416,2236,03/2010,10306,123,337,195,543,19.0,96.0,30.0,284.0,12
417,2237,03/2010,10307,1233,1439,1973,2259,11.0,28.0,9.0,281.0,12
418,2238,03/2010,10308,273,385,363,537,33.0,82.0,29.0,281.0,12
419,2239,03/2010,10309,480,536,1199,1270,23.0,53.0,15.0,240.0,12
420,2240,03/2010,10310,503,782,754,1173,29.0,91.0,38.0,258.0,12
421,2241,03/2010,10312,57,215,94,352,13.0,96.0,30.0,254.0,12
422,2242,03/2010,10314,86,384,136,635,38.0,128.0,32.0,252.0,12
431,2251,03/2010,10459,503,1631,889,2741,111.0,256.0,59.0,223.0,12
434,2254,03/2010,10462,703,3826,1507,6738,110.0,221.0,47.0,178.0,12
440,2260,03/2010,10470,949,3472,1620,6038,47.0,176.0,18.0,209.0,12
447,2267,03/2010,11004,169,449,254,732,16.0,13.0,3.0,412.0,12
451,2271,03/2010,11101,22461,24569,35445,39778,19.0,58.0,6.0,504.0,12
452,2272,03/2010,11102,15988,29011,25268,47485,52.0,133.0,18.0,489.0,12
453,2273,03/2010,11103,13633,32510,23378,54509,48.0,129.0,26.0,415.0,12
454,2274,03/2010,11104,25293,31741,40044,51695,54.0,92.0,28.0,429.0,12
455,2275,03/2010,11105,5174,19302,8565,31977,38.0,64.0,13.0,366.0,12
458,2278,03/2010,11201,65641,86436,107167,141535,95.0,250.0,64.0,648.0,12
459,2279,03/2010,11203,399,2253,677,3635,135.0,195.0,30.0,250.0,12
460,2280,03/2010,11204,399,2166,694,3615,48.0,101.0,16.0,373.0,12
462,2282,03/2010,11206,3569,21614,6369,36248,159.0,349.0,55.0,290.0,12
463,2283,03/2010,11207,431,1874,771,3160,196.0,472.0,74.0,273.0,12
464,2284,03/2010,11208,605,1968,890,3200,183.0,402.0,58.0,269.0,12
466,2286,03/2010,11210,700,3403,1191,5717,101.0,142.0,35.0,318.0,12
468,2288,03/2010,11212,258,1757,399,2910,196.0,438.0,90.0,270.0,12
470,2290,03/2010,11214,719,2781,1105,4451,54.0,147.0,27.0,379.0,12
471,2291,03/2010,11215,9341,43745,15402,71736,67.0,126.0,29.0,575.0,12
479,2299,03/2010,11223,1270,3790,1946,6061,77.0,145.0,50.0,402.0,12
480,2300,03/2010,11224,434,1001,709,1648,46.0,154.0,36.0,326.0,12
482,2302,03/2010,11226,900,6291,1400,10430,194.0,315.0,46.0,322.0,12
483,2303,03/2010,11228,410,3713,626,5953,40.0,85.0,31.0,399.0,12
486,2306,03/2010,11231,20087,28173,32609,45588,33.0,111.0,40.0,604.0,12
487,2307,03/2010,11232,1014,4647,1790,7745,24.0,72.0,21.0,462.0,12
489,2309,03/2010,11234,459,2004,776,3336,94.0,150.0,45.0,330.0,12
490,2310,03/2010,11235,570,2773,772,4611,86.0,153.0,41.0,411.0,12
495,2315,03/2010,11354,806,2939,1264,4774,31.0,49.0,16.0,401.0,12
496,2316,03/2010,11355,4670,4919,6657,7755,69.0,106.0,27.0,388.0,12
497,2317,03/2010,11356,681,1820,1171,2976,28.0,54.0,7.0,344.0,12
498,2318,03/2010,11357,284,1647,529,2755,25.0,24.0,18.0,416.0,12
499,2319,03/2010,11358,183,1462,305,2368,25.0,40.0,10.0,377.0,12
501,2321,03/2010,11361,163,1321,239,2134,21.0,46.0,12.0,406.0,12
502,2322,03/2010,11362,116,613,211,1022,16.0,15.0,5.0,425.0,12
503,2323,03/2010,11363,403,998,624,1615,6.0,6.0,3.0,446.0,12
504,2324,03/2010,11364,195,1229,330,1940,30.0,28.0,6.0,415.0,12
505,2325,03/2010,11365,211,1425,385,2331,29.0,38.0,12.0,386.0,12
506,2326,03/2010,11366,170,1640,254,2609,12.0,32.0,8.0,392.0,12
507,2327,03/2010,11367,1560,5254,2439,8441,48.0,70.0,30.0,338.0,12
508,2328,03/2010,11368,2585,6375,4468,10892,103.0,176.0,38.0,374.0,12
509,2329,03/2010,11369,109,1148,169,1911,23.0,30.0,8.0,291.0,12
511,2331,03/2010,11372,7838,23282,12427,38658,160.0,287.0,68.0,336.0,12
513,2333,03/2010,11374,3484,10765,5196,17029,55.0,178.0,12.0,382.0,12
514,2334,03/2010,11375,9643,14712,14912,23472,42.0,89.0,11.0,427.0,12
515,2335,03/2010,11377,9128,15524,14792,26028,61.0,81.0,16.0,356.0,12
516,2336,03/2010,11378,1822,6006,3204,10039,46.0,80.0,15.0,338.0,12
517,2337,03/2010,11379,626,3047,1081,5038,26.0,48.0,13.0,348.0,12
518,2338,03/2010,11385,456,2527,699,4165,37.0,80.0,21.0,321.0,12
519,2339,03/2010,11411,204,801,630,1586,53.0,36.0,11.0,302.0,12
520,2340,03/2010,11412,155,655,351,1181,48.0,62.0,10.0,256.0,12
521,2341,03/2010,11413,379,1165,745,2030,67.0,82.0,19.0,268.0,12
522,2342,03/2010,11414,706,1349,1152,2296,18.0,39.0,7.0,306.0,12
523,2343,03/2010,11415,2168,6539,3315,10588,37.0,59.0,15.0,332.0,12
524,2344,03/2010,11416,400,1220,563,1956,25.0,59.0,8.0,267.0,12
525,2345,03/2010,11417,372,1211,638,2001,33.0,65.0,15.0,289.0,12
526,2346,03/2010,11418,395,1983,559,3154,42.0,56.0,23.0,271.0,12
527,2347,03/2010,11419,424,1404,709,2419,51.0,80.0,29.0,270.0,12
528,2348,03/2010,11420,277,964,557,1670,48.0,65.0,8.0,278.0,12
529,2349,03/2010,11421,475,2165,674,3602,52.0,71.0,18.0,262.0,12
530,2350,03/2010,11422,591,1731,1191,3125,36.0,41.0,12.0,284.0,12
531,2351,03/2010,11423,503,1652,1140,2982,47.0,64.0,17.0,288.0,12
532,2352,03/2010,11426,224,617,441,1048,14.0,23.0,3.0,326.0,12
533,2353,03/2010,11427,162,674,301,1205,27.0,23.0,8.0,325.0,12
534,2354,03/2010,11428,80,362,122,617,15.0,26.0,5.0,293.0,12
535,2355,03/2010,11429,293,633,445,1017,46.0,55.0,18.0,271.0,12
537,2357,03/2010,11432,612,2722,1323,4873,56.0,95.0,28.0,348.0,12
538,2358,03/2010,11433,390,964,695,1614,103.0,128.0,36.0,281.0,12
539,2359,03/2010,11434,74335,40013,128151,67160,67.0,90.0,27.0,274.0,12
540,2360,03/2010,11435,2617,3837,4990,6847,80.0,164.0,32.0,281.0,12
541,2361,03/2010,11436,3630,3817,6599,6929,53.0,73.0,14.0,278.0,12
542,2362,03/2010,11691,442,783,954,1498,63.0,106.0,30.0,268.0,12
543,2363,03/2010,11692,291,519,544,909,49.0,112.0,31.0,264.0,12
544,2364,03/2010,11694,429,766,711,1336,8.0,26.0,8.0,378.0,12
546,3276,04/2010,10001,627396,624206,1045588,1044801,121.0,319.0,24.0,1043.0,18
547,3277,04/2010,10002,205247,190963,353014,330295,88.0,236.0,40.0,924.0,18
549,3279,04/2010,10004,86632,102209,150484,176243,13.0,26.0,6.0,1071.0,18
550,3280,04/2010,10005,52549,66317,87875,108621,12.0,75.0,4.0,970.0,18
551,3281,04/2010,10006,40030,38835,68303,64514,2.0,4.0,1.0,859.0,18
