lat,lon,name,admin1,admin2,cc
40.75205,-73.994517,10001,,,
40.715523,-73.988379,10002,,,
40.732373,-73.989477,10003,,,
40.704169,-74.012311,10004,,,
40.708119,-74.012238,10005,,,
40.71123,-74.012908,10006,,,
40.712808,-74.009507,10007,,,
40.724608,-73.980332,10009,,,
40.742272,-73.987907,10010,,,
40.74179,-73.999332,10011,,,
40.724324,-73.996124,10012,,,
40.720024,-74.003648,10013,,,
40.73396,-74.005276,10014,,,
40.745154,-73.980751,10016,,,
40.751186,-73.972138,10017,,,
40.755284,-73.992008,10018,,,
40.764248,-73.987442,10019,,,
40.758933,-73.978818,10020,,,
40.768479,-73.960718,10021,,,
40.756416,-73.970295,10022,,,
40.777277,-73.982489,10023,,,
40.786538,-73.978644,10024,,,
40.799621,-73.970312,10025,,,
40.80343,-73.952625,10026,,,
40.81207,-73.954377,10027,,,
40.778345,-73.955085,10028,,,
40.790284,-73.946781,10029,,,
40.818115,-73.944054,10030,,,
40.827379,-73.948071,10031,,,
40.83668,-73.939944,10032,,,
40.847553,-73.936012,10033,,,
40.867888,-73.919847,10034,,,
40.803001,-73.940497,10035,,,
40.759011,-73.989876,10036,,,
40.814876,-73.938236,10037,,,
40.706088,-74.004447,10038,,,
40.826414,-73.936319,10039,,,
40.85837,-73.927473,10040,,,
40.760799,-73.945729,10044,,,
40.765326,-73.963802,10065,,,
40.770156,-73.988079,10069,,,
40.776185,-73.963945,10075,,,
40.758985,-73.978625,10111,,,
40.779563,-73.949559,10128,,,
40.711844,-74.019133,10280,,,
40.71668,-74.012932,10281,,,
40.714419,-74.008255,10282,,,
40.820195,-73.920218,10451,,,
40.841676,-73.921773,10452,,,
40.852613,-73.914221,10453,,,
40.808965,-73.916818,10454,,,
40.812989,-73.903711,10455,,,
40.830175,-73.906791,10456,,,
40.846394,-73.902732,10457,,,
40.859035,-73.890784,10458,,,
40.827628,-73.896045,10459,,,
40.837082,-73.880734,10460,,,
40.844984,-73.843255,10461,,,
40.840999,-73.85721,10462,,,
40.823241,-73.826218,10465,,,
