lat,lon,name,admin1,admin2,cc
40.677047,-73.778208,11434,,,
40.699477,-73.808819,11435,,,
40.678055,-73.797848,11436,,,
40.602157,-73.760226,11691,,,
40.590874,-73.796576,11692,,,
40.576767,-73.84416,11694,,,
40.556389,-73.926667,11697,,,
40.628781,-74.094599,10301,,,
40.629815,-74.138408,10302,,,
40.629027,-74.162595,10303,,,
40.603229,-74.09021,10304,,,
40.594867,-74.0778,10305,,,
40.566903,-74.120829,10306,,,
40.509906,-74.239854,10307,,,
40.553407,-74.150326,10308,,,
40.530762,-74.213351,10309,,,
40.630863,-74.117886,10310,,,
40.542579,-74.178991,10312,,,
40.606393,-74.152402,10314,,,
